STATE,DESCRIPTION,TYPE,DATE
Missouri,St. Louis municipal filing deadline,Ballot access,2021-01-04
Pennsylvania,Philadelphia judical retention filing deadline,Ballot access,2021-01-04
Texas,Special filing deadline for Texas House District 68,Ballot access,2021-01-04
Georgia,Georgia,General runoff election,2021-01-05
Virginia,Virginia House of Delegates District 90,Special election,2021-01-05
Virginia,Virginia House of Delegates District 2,Special election,2021-01-05
Wisconsin,McFarland School District filing deadline,Ballot access,2021-01-05
Wisconsin,Madison Metropolitan School District filing deadline,Ballot access,2021-01-05
Wisconsin,Filing deadline for Wisconsin spring primary election,Ballot access,2021-01-05
Wisconsin,Milwaukee Public Schools filing deadline,Ballot access,2021-01-05
Wisconsin,Sun Prairie Area School District filing deadline,Ballot access,2021-01-05
Wisconsin,DeForest Area School District filing deadline,Ballot access,2021-01-05
Wisconsin,Middleton-Cross Plains School District filing deadline,Ballot access,2021-01-05
Wisconsin,Verona Area School District filing deadline,Ballot access,2021-01-05
California,Filing deadline for CA State Senate District 30 special election,Ballot access,2021-01-07
Louisiana,Candidate filing deadline for special election in LA House District 35,Ballot access,2021-01-08
Maine,Candidate filing deadline for ME SD14 special election.,Ballot access,2021-01-08
Wisconsin,Filing deadline for Wisconsin SD13 special election.,Ballot access,2021-01-08
Wisconsin,Filing deadline for Wisconsin HD89 special primary election.,Ballot access,2021-01-08
Iowa,Third-party filing deadline for Iowa State Senate District 41 special election,Ballot access,2021-01-12
New Hampshire,Filing period for NH House Hillsborough 21 special election,Ballot access,2021-01-15
Alabama,Alabama House of Representatives District 33,Special election,2021-01-19
Missouri,Liberty Public Schools filing deadline,Ballot access,2021-01-19
Missouri,St. Louis Public Schools filing deadline,Ballot access,2021-01-19
Missouri,Center 58 School District filing deadline,Ballot access,2021-01-19
Missouri,Platte County R-III School District filing deadline,Ballot access,2021-01-19
Missouri,Filing deadline for North Kansas City Schools,Ballot access,2021-01-19
Missouri,St. Joseph School District filing deadline,Ballot access,2021-01-19
Missouri,Grandview C-4 School District filing deadline,Ballot access,2021-01-19
Missouri,Kansas City Public Schools filing deadline,Ballot access,2021-01-19
Missouri,Jefferson City municipal filing deadline,Ballot access,2021-01-19
Missouri,Park Hill School District filing deadline,Ballot access,2021-01-19
New York,New York City Council District 11 special filing deadline,Ballot access,2021-01-19
New York,New York City Council District 15 special filing deadline,Ballot access,2021-01-19
New York,Filing deadline for NYC City Council District 15 special election,Ballot access,2021-01-19
New York,Filing deadline for NYC City Council District 11 special election,Ballot access,2021-01-19
Oklahoma,Hickman Mills C-1 School District filing deadline,Ballot access,2021-01-19
Louisiana,Filing deadline for Louisiana Board of Elementary and Secondary Education District 4 sepcial election,Ballot access,2021-01-22
Louisiana,Filing deadline for Louisiana 2nd Circuit Court of Appeal District 1 special election,Ballot access,2021-01-22
Louisiana,Filing deadline for Louisiana 2nd Circuit Court of Appeal District 2 special election,Ballot access,2021-01-22
Virginia,Filing deadline for Virginia State Senate District 38 special election,Ballot access,2021-01-22
Texas,Texas House of Representatives District 68,General election,2021-01-23
Colorado,Colorado Springs municipal filing deadline,Ballot access,2021-01-25
Vermont,Montpelier municipal filing deadline,Ballot access,2021-01-25
Alabama,Deadline for major party candidates to file for the special primary election in Alabama State Senate District 14,Ballot access,2021-01-26
Alabama,Special filing deadline for Alabama House District 73,Ballot access,2021-01-26
Alabama,Tuscaloosa City Schools filing deadline,Ballot access,2021-01-26
Alabama,Birmingham City Schools,General election,2021-01-26
Iowa,Iowa State Senate District 41,Special election,2021-01-26
Massachusetts,Filing deadline for MA State House 19th Suffolk district special election,Ballot access,2021-01-26
Louisiana,Filing period for special primary election for District 82 in the Louisiana House of Representatives.,Ballot access,2021-01-27
Missouri,Special party filing deadline for Missouri House of Representatives District 45,Ballot access,2021-01-27
Alaska,Anchorage municipal filing deadline,Ballot access,2021-01-29
New York,NYC City Council District 24,General election,2021-02-02
Ohio,Columbus municipal filing deadline,Ballot access,2021-02-03
Ohio,Franklin County filing deadline,Ballot access,2021-02-03
Ohio,Cincinnati filing deadline,Ballot access,2021-02-03
Ohio,Columbus City Schools filing deadline,Ballot access,2021-02-03
Illinois,School District U-46 general election write-in filing deadline,Ballot access,2021-02-04
Louisiana,Louisiana House of Representatives District 35,Special election,2021-02-06
Mississippi,"Jackson, MS municipal filing deadline",Ballot access,2021-02-06
Georgia,Georgia House of Representatives District 90,Primary election,2021-02-09
Oklahoma,McLoud Public Schools,Primary election,2021-02-09
Oklahoma,Tulsa County,Special election,2021-02-09
Oklahoma,Oakdale Public School,Primary election,2021-02-09
Oklahoma,Putnam City Schools,Primary election,2021-02-09
Oklahoma,Bixby Public Schools,Primary election,2021-02-09
Oklahoma,Tulsa Public Schools,Primary election,2021-02-09
Oklahoma,Banner School District,Primary election,2021-02-09
Oklahoma,Western Heights Public Schools,Primary election,2021-02-09
Oklahoma,Moore Public Schools,Primary election,2021-02-09
Oklahoma,Millwood Public Schools,Primary election,2021-02-09
Oklahoma,Union Public Schools,Primary election,2021-02-09
Oklahoma,Yukon Public Schools,Primary election,2021-02-09
Oklahoma,Piedmont Public Schools,Primary election,2021-02-09
Oklahoma,Broken Arrow Public Schools,Primary election,2021-02-09
Oklahoma,Crooked Oak Public Schools,Primary election,2021-02-09
Oklahoma,Catoosa Public Schools,Primary election,2021-02-09
Oklahoma,Oklahoma State Senate District 22,Special election,2021-02-09
