STATE,DESCRIPTION,TYPE,DATE
AL,Special filing deadline for Alabama House District 73,Ballot access,2021-01-26
AL,Tuscaloosa City Schools filing deadline,Ballot access,2021-01-26
AL,Deadline for major party candidates to file for the special primary election in Alabama State Senate District 14,Ballot access,2021-01-26
AL,Birmingham City Schools,General election,2021-01-26
AL,Alabama State Senate District 26,Special election,2021-03-02
AL,Tuscaloosa City Schools,General election,2021-03-02
AL,Birmingham City Schools,General runoff election,2021-03-09
AL,Filing deadline for Alabama State House District 78 special election (major party),Ballot access,2021-03-23
AL,Deadline for minor party and independent candidates to file for the special general election in Alabama State Senate District 14,Ballot access,2021-03-30
AL,Alabama State Senate District 14,Special election,2021-03-30
AL,Third-party filing deadline for Alabama House of Representatives District 73 special election,Ballot access,2021-03-30
AL,Alabama House of Representatives District 73,Primary election,2021-03-30
AL,Tuscaloosa City Schools,General runoff election,2021-04-13
AL,Alabama House of Representatives District 73,Primary runoff election,2021-04-27
AL,Alabama State Senate District 14,Special election,2021-04-27
AL,Filing deadline for Alabama State House District 78 special election (minor party),Ballot access,2021-05-25
AL,Alabama House of Representatives District 78,Primary election,2021-05-25
AL,Alabama House of Representatives District 78,Primary runoff election,2021-06-22
AL,Birmingham municipal filing deadline,Ballot access,2021-07-10
AL,Alabama House of Representatives District 73,Special election,2021-07-13
AL,Alabama State Senate District 14,Special election,2021-07-13
AL,Birmingham,General election,2021-08-24
AL,Alabama House of Representatives District 78,Special election,2021-09-07
AL,Birmingham,General runoff election,2021-10-05
AK,Anchorage municipal filing deadline,Ballot access,2021-01-29
AK,Anchorage,General election,2021-04-06
AK,Anchorage,General runoff election,2021-05-11
AK,Juneau municipal filing deadline,Ballot access,2021-08-16
AK,Juneau write-in filing deadline,Ballot access,2021-09-30
AK,Juneau,General election,2021-10-05
AZ,Phoenix,General runoff election,2021-03-09
AZ,Tucson municipal filing deadline,Ballot access,2021-04-05
AZ,Tucson primary write-in deadline,Ballot access,2021-06-24
